,rescode,hhsize,age16m,age16f,under16
151,16506,6.0,1.0,1.0,4.0
152,16505,5.0,2.0,2.0,1.0
153,16501,5.0,3.0,1.0,1.0
154,16504,5.0,1.0,4.0,0.0
155,16602,5.0,2.0,3.0,0.0
156,16406,3.0,1.0,1.0,1.0
157,16603,5.0,1.0,1.0,3.0
158,16401,4.0,1.0,1.0,2.0
159,16304,6.0,2.0,2.0,2.0
160,16303,6.0,2.0,4.0,0.0
161,16407,5.0,1.0,1.0,3.0
162,16305,3.0,1.0,1.0,1.0
163,16408,5.0,2.0,3.0,0.0
164,16409,6.0,1.0,1.0,4.0
165,17109,4.0,2.0,2.0,0.0
166,17110,5.0,1.0,1.0,3.0
167,17104,5.0,1.0,1.0,3.0
168,17101,6.0,1.0,3.0,2.0
169,17107,4.0,1.0,3.0,0.0
170,17102,4.0,1.0,1.0,2.0
171,17103,6.0,1.0,2.0,3.0
172,17108,4.0,1.0,1.0,2.0
173,17306,10.0,1.0,2.0,7.0
174,17105,6.0,1.0,2.0,3.0
175,17106,6.0,1.0,1.0,4.0
176,17209,5.0,3.0,2.0,0.0
177,17302,8.0,1.0,2.0,5.0
178,17305,8.0,1.0,1.0,6.0
179,17301,4.0,2.0,1.0,1.0
180,17212,3.0,0.0,1.0,2.0
181,17304,6.0,1.0,1.0,4.0
182,17303,5.0,1.0,1.0,3.0
183,17210,5.0,1.0,1.0,3.0
184,17205,8.0,1.0,2.0,5.0
185,17203,6.0,2.0,2.0,2.0
186,17204,7.0,2.0,1.0,4.0
187,17206,9.0,1.0,5.0,3.0
188,17202,4.0,2.0,1.0,1.0
189,17111,6.0,2.0,1.0,3.0
190,17112,7.0,1.0,1.0,5.0
191,17208,8.0,1.0,3.0,4.0
192,17207,3.0,1.0,1.0,1.0
193,17201,6.0,1.0,1.0,4.0
194,21118,3.0,1.0,1.0,1.0
195,21101,4.0,3.0,1.0,0.0
196,21117,5.0,2.0,2.0,1.0
197,21112,6.0,1.0,4.0,1.0
198,21114,5.0,3.0,2.0,0.0
199,21116,4.0,0.0,3.0,1.0
200,21113,5.0,1.0,1.0,3.0
201,21115,3.0,2.0,1.0,0.0
202,21314,4.0,2.0,2.0,0.0
203,21206,6.0,1.0,1.0,4.0
204,21111,3.0,1.0,1.0,1.0
205,21201,3.0,1.0,1.0,1.0
206,21205,3.0,1.0,1.0,1.0
207,21202,4.0,2.0,2.0,0.0
208,21208,2.0,1.0,1.0,0.0
209,21210,4.0,1.0,1.0,2.0
210,21209,5.0,2.0,3.0,0.0
211,21211,5.0,1.0,1.0,3.0
212,21119,4.0,1.0,1.0,2.0
213,21306,4.0,1.0,2.0,1.0
214,21308,4.0,1.0,2.0,1.0
215,21305,3.0,0.0,1.0,2.0
216,21302,6.0,3.0,2.0,1.0
217,21313,3.0,2.0,0.0,1.0
218,21304,4.0,1.0,1.0,2.0
219,21301,3.0,1.0,1.0,1.0
220,21312,1.0,1.0,0.0,0.0
221,21311,4.0,1.0,1.0,2.0
222,22121,4.0,2.0,2.0,0.0
223,22114,3.0,0.0,3.0,0.0
224,22210,3.0,1.0,1.0,1.0
225,22216,3.0,1.0,2.0,0.0
226,22215,6.0,2.0,2.0,2.0
227,22120,5.0,1.0,2.0,2.0
228,22116,7.0,1.0,2.0,4.0
229,22117,3.0,0.0,2.0,1.0
230,22112,4.0,2.0,1.0,1.0
231,22119,4.0,1.0,1.0,3.0
232,22206,4.0,1.0,1.0,2.0
233,22111,3.0,1.0,1.0,1.0
234,22103,3.0,1.0,2.0,0.0
235,22212,4.0,0.0,1.0,3.0
236,22113,7.0,4.0,1.0,2.0
237,22110,4.0,2.0,1.0,1.0
238,22115,7.0,3.0,1.0,3.0
239,22106,3.0,0.0,1.0,2.0
240,22118,7.0,2.0,3.0,2.0
241,22218,4.0,1.0,1.0,2.0
242,22217,5.0,1.0,2.0,2.0
243,22220,5.0,1.0,2.0,2.0
244,22213,4.0,0.0,1.0,3.0
245,22201,5.0,1.0,2.0,2.0
246,22202,6.0,2.0,2.0,2.0
247,22204,4.0,0.0,2.0,2.0
248,22208,3.0,1.0,1.0,1.0
249,22203,4.0,1.0,1.0,2.0
250,22219,5.0,3.0,2.0,0.0
251,22108,5.0,0.0,2.0,3.0
252,23208,5.0,2.0,2.0,1.0
253,23206,7.0,2.0,3.0,2.0
254,23216,6.0,1.0,2.0,3.0
255,23106,9.0,2.0,5.0,2.0
256,23116,5.0,1.0,4.0,0.0
257,23109,5.0,1.0,1.0,3.0
258,23213,3.0,0.0,1.0,2.0
259,23110,7.0,2.0,3.0,2.0
260,23120,4.0,0.0,2.0,2.0
261,23113,5.0,1.0,1.0,3.0
262,23108,3.0,0.0,3.0,0.0
263,23205,5.0,1.0,1.0,3.0
264,23217,4.0,1.0,1.0,2.0
265,23201,5.0,2.0,1.0,2.0
266,23204,5.0,1.0,1.0,3.0
267,23220,3.0,1.0,2.0,0.0
268,23219,5.0,1.0,2.0,2.0
269,23218,3.0,0.0,3.0,0.0
270,23117,10.0,4.0,2.0,4.0
271,23105,7.0,1.0,3.0,3.0
272,23107,5.0,1.0,1.0,3.0
273,23118,4.0,1.0,1.0,2.0
274,23215,4.0,0.0,2.0,2.0
275,23115,6.0,3.0,3.0,0.0
276,23202,5.0,2.0,1.0,2.0
277,23203,4.0,1.0,1.0,2.0
278,23104,5.0,0.0,3.0,2.0
279,23119,4.0,0.0,3.0,1.0
280,24115,7.0,3.0,3.0,1.0
281,24102,4.0,1.0,1.0,2.0
282,24120,4.0,2.0,1.0,0.0
283,24101,6.0,2.0,2.0,2.0
284,24134,3.0,2.0,1.0,0.0
285,24117,6.0,1.0,2.0,3.0
286,24145,4.0,2.0,1.0,1.0
287,24135,3.0,1.0,1.0,1.0
288,24137,4.0,1.0,1.0,2.0
289,24141,5.0,2.0,1.0,2.0
290,24144,5.0,3.0,1.0,1.0
291,24119,5.0,1.0,3.0,1.0
292,24142,8.0,2.0,2.0,4.0
293,24125,4.0,2.0,1.0,1.0
294,24130,7.0,1.0,2.0,4.0
295,24133,3.0,1.0,2.0,0.0
296,24104,5.0,1.0,1.0,3.0
297,24143,7.0,2.0,4.0,1.0
298,24148,4.0,1.0,1.0,2.0
299,24138,4.0,1.0,1.0,2.0
300,24139,4.0,1.0,1.0,2.0
301,24131,5.0,3.0,2.0,0.0
302,24103,8.0,3.0,3.0,2.0
303,24132,3.0,1.0,1.0,1.0
304,24118,7.0,2.0,3.0,2.0
305,24140,6.0,2.0,1.0,3.0
306,24147,11.0,5.0,5.0,1.0
307,24136,8.0,4.0,2.0,2.0
308,24124,7.0,2.0,1.0,4.0
309,25112,3.0,0.0,3.0,0.0
310,25205,3.0,0.0,1.0,2.0
311,25114,2.0,0.0,1.0,1.0
312,25113,6.0,2.0,2.0,2.0
313,25210,3.0,1.0,1.0,1.0
314,25203,3.0,0.0,3.0,0.0
315,25102,2.0,1.0,1.0,0.0
316,25202,6.0,2.0,2.0,2.0
317,25116,5.0,1.0,2.0,2.0
318,25117,4.0,1.0,1.0,2.0
319,25204,4.0,1.0,1.0,2.0
320,25213,7.0,3.0,2.0,2.0
321,25216,6.0,1.0,2.0,3.0
322,25215,4.0,2.0,2.0,0.0
323,25118,4.0,1.0,1.0,2.0
324,25119,4.0,1.0,1.0,2.0
325,25104,4.0,2.0,2.0,0.0
326,25214,6.0,3.0,1.0,2.0
327,25107,5.0,1.0,2.0,2.0
328,25110,2.0,0.0,1.0,1.0
329,25120,8.0,3.0,3.0,2.0
330,25121,3.0,1.0,1.0,1.0
331,25217,5.0,1.0,1.0,3.0
332,25111,6.0,1.0,4.0,1.0
333,25122,6.0,3.0,1.0,2.0
334,25212,7.0,1.0,1.0,5.0
335,26216,5.0,2.0,2.0,1.0
336,26105,5.0,3.0,2.0,0.0
337,26116,6.0,3.0,2.0,1.0
338,26106,3.0,1.0,1.0,1.0
339,26119,6.0,2.0,2.0,2.0
340,26206,4.0,1.0,2.0,1.0
341,26207,3.0,1.0,1.0,1.0
342,26212,2.0,1.0,1.0,0.0
343,26120,8.0,2.0,3.0,3.0
344,26117,5.0,0.0,1.0,4.0
345,26107,6.0,3.0,2.0,1.0
346,26102,2.0,0.0,2.0,0.0
347,26213,4.0,2.0,1.0,1.0
348,26215,4.0,1.0,1.0,2.0
349,26113,3.0,0.0,1.0,2.0
350,26104,5.0,1.0,2.0,2.0
351,26110,3.0,2.0,1.0,0.0
352,26203,5.0,1.0,4.0,0.0
353,26114,6.0,1.0,3.0,2.0
354,26108,3.0,1.0,1.0,1.0
355,26205,3.0,1.0,1.0,1.0
356,26214,4.0,0.0,2.0,2.0
357,26201,2.0,1.0,1.0,0.0
358,26112,5.0,4.0,1.0,0.0
359,26210,4.0,1.0,2.0,1.0
360,26118,5.0,1.0,2.0,2.0
361,27131,5.0,2.0,2.0,1.0
362,27116,2.0,0.0,2.0,0.0
363,27102,7.0,3.0,3.0,1.0
364,27119,7.0,3.0,1.0,3.0
